Target Name,Label
IC 1248,1
NGC 6330,1
NGC 6359,0
NGC 6361,0
UGC 10811,1
NGC 6373,1
NGC 6364,0
UGC 10842,1
UGC 10888,1
UGC 10935,0
UGC 10971,0
IC 4836,0
NGC 6769,0
NGC 6770,1
IC 4845,1
NGC 6782,1
NGC 6845A,1
NGC 6902B,0
NGC 6902,0
NGC 6941,1
NGC 6951,1
UGC 11612,0
PGC 65328,
ESO 341-G013,0
NGC 6962,1
UGC 11646,0
NGC 7080,1
PGC 67153,0
ESO 343-G018,0
UGC 11790,0
ESO 466-G005,0
UGC 11816,1
NGC 7152,1
NGC 7167,1
ESO 404-G023,1
IC 5156,1
NGC 7215,0
NGC 7221,1
CGCG 377-039,1
NGC 7248,0
NGC 7252,0
NGC 7279,1
NGC 7289,0
ESO 468-G006,1
NGC 7331,0
NGC 7335,0
NGC 7337,1
UGC 12134,0
NGC 7396,0
ESO 346-G006,0
NGC 7398,0
UGC 12250,1
UGC 12253,0
NGC 7418,1
NGC 7418A,0
ESO 534-G032,1
NGC 7421,1
ARP 314 NED01,0
ARP 314 NED02,1
NGC 7469,1
NGC 7479,1
UGC 12354,0
ESO 407-G007,0
UGC 12434,0
NGC 7535,0
NGC 7536,1
NGC 7563,1
NGC 7645,1
NGC 7674,0
NGC 7677,1
IC 5325,1
UGC 12635,0
UGC 12685,1
NGC 7741,1
NGC 7769,0
NGC 7771,1
NGC 7793,0
ESO 349-G014,0
NGC 7798,1
